Line,Route,Direction,Municipality,On Street,At Street,Time Point - Description,Stop ID/Stop Num
1,1,Inbound,IRVINGTON TWP,GROVE ST,17TH AVE,IRVINGTON TWP - GROVE ST at 17TH AVE,17826
1,1,Inbound,IRVINGTON TWP,GROVE ST,16TH AVE,IRVINGTON TWP - GROVE ST at 16TH AVE,17827
1,1,Outbound,IRVINGTON TWP,GROVE ST,ARVERNE TERRACE,IRVINGTON TWP - GROVE ST at ARVERNE TERRACE,17833
1,1,Outbound,IRVINGTON TWP,GROVE ST,TICHENOR TERRACE,IRVINGTON TWP - GROVE ST at TICHENOR TERRACE,17834
1,1,Outbound,IRVINGTON TWP,GROVE ST,BRECKENRIDGE TERRACE,IRVINGTON TWP - GROVE ST at BRECKENRIDGE TERRACE,17835
1,1,Inbound,IRVINGTON TWP,16TH AVE,22ND ST,IRVINGTON TWP - 16TH AVE at 22ND ST,17923
1,1,Outbound,IRVINGTON TWP,16TH AVE,22ND ST,IRVINGTON TWP - 16TH AVE at 22ND ST,17924
1,1,Inbound,IRVINGTON TWP,18TH AVE,VERMONT AVE,IRVINGTON TWP - 18TH AVE at VERMONT AVE,17925
1,1,Inbound,IRVINGTON TWP,18TH AVE,COLUMBIA AVE,IRVINGTON TWP - 18TH AVE at COLUMBIA AVE,17926
1,1,Inbound,IRVINGTON TWP,18TH AVE,MYRTLE AVE,IRVINGTON TWP - 18TH AVE at MYRTLE AVE,17927
1,1,Inbound,IRVINGTON TWP,18TH AVE,EASTERN PKWY,IRVINGTON TWP - 18TH AVE at EASTERN PKWY,17928
1,1,Outbound,IRVINGTON TWP,18TH AVE,EASTERN PKWY,IRVINGTON TWP - 18TH AVE at EASTERN PKWY,17933
1,1,Outbound,IRVINGTON TWP,18TH AVE,MYRTLE AVE,IRVINGTON TWP - 18TH AVE at MYRTLE AVE,17934
1,1,Outbound,IRVINGTON TWP,18TH AVE,COLUMBIA AVE,IRVINGTON TWP - 18TH AVE at COLUMBIA AVE,17935
1,1,Outbound,IRVINGTON TWP,18TH AVE,VERMONT AVE,IRVINGTON TWP - 18TH AVE at VERMONT AVE,17936
1,1,Inbound,NEWARK,CHAPEL ST,FLEMING AVE,NEWARK - CHAPEL ST at FLEMING AVE,18440
1,1,Inbound,NEWARK,CHAPEL ST,FLEMING AVE,NEWARK - CHAPEL ST at FLEMING AVE,18440
1,1,Inbound,NEWARK,CHAPEL ST,ALBERT AVE,NEWARK - CHAPEL ST at ALBERT AVE,18442
